raw_name,clean_name
MEDCIN71715_COMN_DIVB_73723_BC_BASE_25_1234_AWA_NED-Upper-Funnel_Video_Roku_CTV_TTD,Medcin71715_Comn_Divb_73723_Bc_Base_25_1234_Awa_Ned-Upper-Funnel_Video_Roku_Ctv_Ttd
MEDCIN71715_COMN_DIVB_73723_BC_BASE_25_1234_AWA_NED-Upper-Funnel_Video_CTV_TTD,Medcin71715_Comn_Divb_73723_Bc_Base_25_1234_Awa_Ned-Upper-Funnel_Video_Ctv_Ttd
MEDCIN71676_COMN_SDVB_73720_BC_BASE_25_1234_AWA_Central_Upper-Funnel_Video_CTV_TTD,Medcin71676_Comn_Sdvb_73720_Bc_Base_25_1234_Awa_Central_Upper-Funnel_Video_Ctv_Ttd
MEDCIN71715_COMN_DIVB_73723_BC_BASE_25_1234_AWA_NED-Upper-Funnel_NNJ_Video_CTV_TTD,Medcin71715_Comn_Divb_73723_Bc_Base_25_1234_Awa_Ned-Upper-Funnel_Nnj_Video_Ctv_Ttd
MEDCIN71676_COMN_SDVB_73720_BC_BASE_25_1234_AWA_Central_Upper-Funnel_Video_Roku_CTV_TTD,Medcin71676_Comn_Sdvb_73720_Bc_Base_25_1234_Awa_Central_Upper-Funnel_Video_Roku_Ctv_Ttd
MEDCIN71171_2025_CPRR_CPRI_AWA_73749_Video_CTV_CorpRep_TTD,Medcin71171_2025_Cprr_Cpri_Awa_73749_Video_Ctv_Corprep_Ttd
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Harrisonburg,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Harrisonburg
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Salisbury,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Salisbury
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Springfield-Holyoke,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Springfield-Holyoke
MEDCIN71882_2025_RESI_NED_AWA_73702_Video_Roku_CTV,Medcin71882_2025_Resi_Ned_Awa_73702_Video_Roku_Ctv
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Charleston-Huntington,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Charleston-Huntington
MEDCIN71882_2025_RESI_NED_AWA_73702_HM_Video_CTV_NNJ,Medcin71882_2025_Resi_Ned_Awa_73702_Hm_Video_Ctv_Nnj
MEDCIN71882_2025_RESI_NED_AWA_73702_OLV_Hypercompetitive,Medcin71882_2025_Resi_Ned_Awa_73702_Olv_Hypercompetitive
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Portland-Auburn,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Portland-Auburn
MEDCIN71882_2025_RESI_NED_AWA_73702_HM_BAU_Video_CTV,Medcin71882_2025_Resi_Ned_Awa_73702_Hm_Bau_Video_Ctv
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Roanoke,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Roanoke
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Hartford,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Hartford
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Harrisburg-Lancaster-Lebanon-York,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Harrisburg-Lancaster-Lebanon-York
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Wilkes-Barre-Scranton-Hazelton,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Wilkes-Barre-Scranton-Hazelton
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Richmond,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Richmond
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Providence,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Providence
MEDCIN71882_2025_RESI_NED_ACQ_73702_CTV_Competitive,Medcin71882_2025_Resi_Ned_Acq_73702_Ctv_Competitive
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_NNJ,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Nnj
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Wheeling-WV-Steubenville-OH,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Wheeling-Wv-Steubenville-Oh
MEDCIN71882_2025_RESI_NED_AWA_73702_GM_BAU_Video_CTV,Medcin71882_2025_Resi_Ned_Awa_73702_Gm_Bau_Video_Ctv
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Burlington-VT-Plattsburgh-NY,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Burlington-Vt-Plattsburgh-Ny
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Charlottesville,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Charlottesville
MEDCIN71754_2025_RESI_NED_AWA_73703_Video_CTV_Johnstown-Altoona-State-College,Medcin71754_2025_Resi_Ned_Awa_73703_Video_Ctv_Johnstown-Altoona-State-College
MEDCIN71882_2025_RESI_NED_AWA_73702_OLV_Competitive,Medcin71882_2025_Resi_Ned_Awa_73702_Olv_Competitive
MEDCIN71957_2025_RESI_CEN_73552_CTV_HM_Video_Roku,Medcin71957_2025_Resi_Cen_73552_Ctv_Hm_Video_Roku
MEDCIN71957_2025_RESI_CEN_73552_GM_Video_CTV_Roku,Medcin71957_2025_Resi_Cen_73552_Gm_Video_Ctv_Roku
MEDCIN71959_2025_RESI_CEN_73559_GM_Now_Video_CTV_Roku,Medcin71959_2025_Resi_Cen_73559_Gm_Now_Video_Ctv_Roku
MEDCIN71957_2025_RESI_CEN_73552_GM_Video_CTV_BAU,Medcin71957_2025_Resi_Cen_73552_Gm_Video_Ctv_Bau
