raw_name,clean_name
TTD GM Roku RON: (TFL0126954_TTD_Comcast_Programmatic Dynamic_Video - Buy Side Targeted Base - Non-GTD_0325074),Ttd Gm Roku Ron: (Tfl0126954_Ttd_Comcast_Programmatic Dynamic_Video - Buy Side Targeted Base - Non-Gtd_0325074)
CBS Sports HQ - US - Shoulder Content - CTV (ConnectedTV) Video,Cbs Sports Hq - Us - Shoulder Content - Ctv (Connectedtv) Video
Comcast_ TTD_CTV_Freewheel_Live Sports,Comcast_ Ttd_Ctv_Freewheel_Live Sports
Comcast_ TTD_CTV_Freewheel_Scale Video W/exclusions,Comcast_ Ttd_Ctv_Freewheel_Scale Video W/Exclusions
Comcast_CTV_Freewheel_AMC,Comcast_Ctv_Freewheel_Amc
Comcast_TTD_CTV_Freewheel_Floor_18_InHouse_Xumo_CTV_NoKids,Comcast_Ttd_Ctv_Freewheel_Floor_18_Inhouse_Xumo_Ctv_Nokids
Comcast_TTD_CTV_Freewheel_NBCU_ODV_$14.5,Comcast_Ttd_Ctv_Freewheel_Nbcu_Odv_$14.5
Comcast_TTD_CTV_Freewheel_NBCU_Peacock Premier_$19.5,Comcast_Ttd_Ctv_Freewheel_Nbcu_Peacock Premier_$19.5
Comcast_TTD_CTV_Freewheel_Upfront_EyeQ_Paramount_15s_$12.7,Comcast_Ttd_Ctv_Freewheel_Upfront_Eyeq_Paramount_15S_$12.7
Comcast_TTD_CTV_Freewheel_Upfront_EyeQ_Paramount_30s_$14.11,Comcast_Ttd_Ctv_Freewheel_Upfront_Eyeq_Paramount_30S_$14.11
Comcast_TTD_CTV_Freewheel_Upfront_Vevo_$18,Comcast_Ttd_Ctv_Freewheel_Upfront_Vevo_$18
Comcast_TTD_CTV_Freewheel_Warner Brother Discovery_Discovery+_$19.8,Comcast_Ttd_Ctv_Freewheel_Warner Brother Discovery_Discovery+_$19.8
Comcast_TTD_CTV_Freewheel_Warner Brother Discovery_Max_$21.45,Comcast_Ttd_Ctv_Freewheel_Warner Brother Discovery_Max_$21.45
Comcast_TTD_CTV_Freewheel_Warner Brother Discovery_WBD Stream_$14.3,Comcast_Ttd_Ctv_Freewheel_Warner Brother Discovery_Wbd Stream_$14.3
Comcast_TTD_CTV_Tubi_Upfront_15s,Comcast_Ttd_Ctv_Tubi_Upfront_15S
Comcast_TTD_CTV_Tubi_Upfront_30s,Comcast_Ttd_Ctv_Tubi_Upfront_30S
"DIRECTV STREAM (AT&T TV)  - Live Sports (ESPN, Fox, NBC, Turner) RON - US - CTV - Video","Directv Stream (At&T Tv)  - Live Sports (Espn, Fox, Nbc, Turner) Ron - Us - Ctv - Video"
DIRECTV STREAM (AT&T TV) (PGA Golf)- US - All Devices including Connected TV CTV/OTT - Video,Directv Stream (At&T Tv) (Pga Golf)- Us - All Devices Including Connected Tv Ctv/Ott - Video
Disney and Hulu XP - US - RON - CTV (ADVERTISER SAFELISTING REQUIRED),Disney And Hulu Xp - Us - Ron - Ctv (Advertiser Safelisting Required)
FloSports - US - RON - Connected TV (CTV) / Web/Mobile – Video,Flosports - Us - Ron - Connected Tv (Ctv) / Web/Mobile – Video
Fubo - US - RON - Sports Networks - Connected TV (CTV) / OTT – Video,Fubo - Us - Ron - Sports Networks - Connected Tv (Ctv) / Ott – Video
"NBCU Live Sports (SNFootball, NHL, EPL, GOLF/PGA, NASCAR, etc.) - US - RON - OTT | Connected TV - Video","Nbcu Live Sports (Snfootball, Nhl, Epl, Golf/Pga, Nascar, Etc.) - Us - Ron - Ott | Connected Tv - Video"
Samsung TV Plus - US - Live Sports - CTV - Video,Samsung Tv Plus - Us - Live Sports - Ctv - Video
WarnerMedia - US - Sports - Video -  All OTT Devices including Connected TV (CTV),Warnermedia - Us - Sports - Video -  All Ott Devices Including Connected Tv (Ctv)
